title,minutes,cost,tags,source
Draw from memory somebody you see every single day,40,free,create visualart drawing nostalgic engaging home,seed
Draw with charcoal and accept the mess,60,frugal,create visualart drawing try engaging home,seed
Paint the same thing in the morning and at night,120,frugal,create visualart painting engaging home,seed
Paint a whole picture in under ten minutes,10,frugal,create visualart painting try casual home,seed
Paint something for the wall that has been bare for years,180,frugal,create visualart painting challenging home,seed
Paint with a brush far too big for the job,45,frugal,create visualart painting funny try casual home,seed
Paint the sky and nothing else,60,frugal,create visualart painting mindful engaging home,seed
Paint somebody from a photograph of them at your age,150,frugal,create visualart painting nostalgic challenging home,seed
Copy a painting you have never understood,180,frugal,create visualart painting learn challenging home,seed
Paint outdoors and let the weather join in,90,frugal,create visualart painting adventurous engaging outdoors,seed
Paint every colour in your kitchen onto one card,45,frugal,create visualart painting casual home,seed
Paint a sign for something in the house,60,frugal,create visualart painting funny engaging home,seed
Carve a spoon out of a piece of wood,180,frugal,create visualart sculpting learn challenging home,seed
Make a face out of clay in twenty minutes,20,frugal,create visualart sculpting try casual home,seed
Bend something out of wire that stands up on its own,60,frugal,create visualart sculpting engaging home,seed
Make a bowl by hand and then use it,120,frugal,create visualart sculpting engaging home,seed
Carve something into a bar of soap,45,frugal,create visualart sculpting funny casual home,seed
Build a cairn somewhere it will be found,30,free,create visualart sculpting mindful casual outdoors,seed
Make the same shape until your hands know it,90,frugal,create visualart sculpting challenging home,seed
Model somebody’s hands from life,90,frugal,create visualart sculpting challenging home,seed
Make something out of ice and watch it go,60,free,create visualart sculpting mindful casual home,seed
Whittle whatever stick you pick up on the walk,45,free,create visualart sculpting casual outdoors,seed
Make a collage out of one year of your life,90,free,create visualart mixedmedia nostalgic engaging home,seed
Cut up a book you will never read and make something else,60,frugal,create visualart mixedmedia funny engaging home,seed
Make a poster for a night that never happened,60,free,create visualart mixedmedia funny engaging home,seed
Keep a scrapbook of one single week,60,free,create visualart mixedmedia writing casual home,seed
Build a diorama of somewhere you remember,150,frugal,create visualart mixedmedia nostalgic challenging home,seed
Make a mobile that actually balances,90,frugal,create visualart mixedmedia challenging home,seed
Print something with anything but a printing press,60,frugal,create visualart mixedmedia try engaging home,seed
Make a paper model of a building you like,120,frugal,create visualart mixedmedia challenging home,seed
Decorate something dull that you use every day,45,frugal,create visualart mixedmedia casual home,seed
Make the card by hand for the next birthday,45,frugal,create visualart mixedmedia kindness casual home,seed
Take up the trousers that have never quite fitted,90,frugal,create clothes repair engaging home,seed
Make a bag out of something you no longer wear,120,frugal,create clothes challenging home,seed
Sew a pocket into something that has none,90,frugal,create clothes try engaging home,seed
Learn to use a sewing machine well enough to be dangerous,120,frugal,create clothes learn challenging home,seed
Dress for the decade you liked best for one whole day,60,free,create clothes nostalgic funny casual anywhere,seed
Knit something small enough that you will finish it,180,frugal,create clothes learn engaging home,seed
Patch a hole so that everybody asks about it,60,frugal,create clothes repair funny engaging home,seed
Make a costume out of what is already in the house,90,free,create clothes acting funny engaging home,seed
Dye something back to the colour it used to be,90,frugal,create clothes repair engaging home,seed
Alter the charity shop coat until it is yours,120,frugal,create clothes challenging home,seed
Play the same four chords until they sound like something,45,free,create music casual home,seed
Record the tune in your head before you forget it,5,free,create music casual anywhere,seed
Learn a piece by somebody who could not read music,90,free,create music learn challenging home,seed
Sing at full volume with the door shut,20,free,create music funny casual home,seed
Make a playlist for somebody you have not spoken to in years,45,free,create music nostalgic kindness casual anywhere,seed
Learn the bassline instead of the tune,45,free,create music try engaging home,seed
Play something with somebody far better than you,90,free,create music friends challenging anywhere,seed
Write a chorus and nothing else,45,free,create music writing engaging home,seed
Record the same song three different ways,120,free,create music challenging home,seed
Keep time with a metronome for ten minutes,15,free,create music mindful casual home,seed
Learn a speech and say it to somebody,60,free,create acting challenging home,seed
Hold a whole conversation in an accent and see who notices,30,free,create acting funny casual anywhere,seed
Read a scene down the phone with somebody,45,free,create acting friends funny engaging anywhere,seed
Act out the story of your day without words,15,free,create acting dancing funny casual home,seed
Learn to cry on cue or fail trying,45,free,create acting funny challenging home,seed
Be somebody else for one whole phone call,20,free,create acting funny challenging anywhere,seed
Record an audiobook chapter for one person,60,free,create acting read kindness engaging home,seed
Go to an open audition for anything at all,180,free,create acting adventurous challenging indoors newpeople friends,seed
Improvise a radio advert for something in the fridge,20,free,create acting funny casual home,seed
Narrate a nature documentary about your own street,25,free,create acting film funny casual outdoors,seed
Learn eight counts of something properly,45,free,create dancing learn engaging home,seed
Dance for exactly as long as the kettle takes,4,free,create dancing move funny casual home,seed
Go to a class where everybody is better than you,90,costly,create dancing move challenging indoors newpeople friends,seed
Learn to lead and then learn to follow,60,free,create dancing partner engaging home,seed
Dance to something you would never admit to,10,free,create dancing move funny casual home,seed
Learn the dance from the video you have watched fifty times,90,free,create dancing move nostalgic challenging home,seed
Dance outside where somebody might see you,15,free,create dancing adventurous funny casual outdoors,seed
Move to a whole side of a record,25,free,create dancing music mindful casual home,seed
Learn a folk dance from wherever your family is from,90,free,create dancing learn nostalgic engaging home,seed
Put on a dance for one person,30,free,create dancing romantic funny casual home partner,seed
Film one minute of every day this week,30,free,create film mindful engaging anywhere,seed
Cut a trailer for your own life,120,free,create film funny challenging home,seed
Film somebody explaining what they do,60,free,create film kindness engaging anywhere,seed
Learn to light one shot properly,90,free,create film learn challenging home,seed
Film the walk to work and speed it right up,45,free,create film casual outdoors,seed
Make a silent film with title cards,150,free,create film funny challenging home,seed
Interview your oldest relative on camera,90,free,create film nostalgic kindness engaging anywhere,seed
Film a place that is about to change,60,free,create film mindful engaging outdoors,seed
Cut two minutes out of something you have already finished,60,free,create film challenging home,seed
Shoot something on a camera older than you are,120,frugal,create film nostalgic try engaging outdoors,seed
Watch the film everybody has seen except you,120,free,watch casual home,seed
Watch a whole series in a language you are learning,120,free,watch learn engaging home,seed
Watch the birds from one window for half an hour,30,free,watch mindful casual home,seed
Watch a match with somebody who actually cares about it,150,free,watch friends funny engaging anywhere,seed
Watch a film with the sound off and the subtitles on,110,free,watch try engaging home,seed
Watch the tide come all the way in,90,free,watch mindful engaging outdoors,seed
Watch somebody who is very good at their job do it,45,free,watch learn casual outdoors,seed
Watch the last film you loved and see what has changed,120,free,watch nostalgic engaging home,seed
Watch a film made the year you were born,120,free,watch nostalgic casual home,seed
Watch something long with no phone in the room,150,free,watch challenging home,seed
Listen to the record your parents played most,45,free,listen music nostalgic casual home,seed
Listen to one piece of music five times in a row,50,free,listen music mindful engaging home,seed
Listen to a whole opera with the words in front of you,180,free,listen music learn challenging home,seed
Listen out for every bird you can hear from one spot,20,free,listen mindful casual outdoors,seed
Listen to somebody talk about their obsession,60,free,listen friends kindness engaging anywhere,seed
Listen to the album that came out the week you left school,45,free,listen music nostalgic casual anywhere,seed
Write down what every instrument in one song is doing,30,free,listen music learn engaging home,seed
Listen to the house at night with the lights off,15,free,listen spooky mindful casual home,seed
Listen to a live recording of something you know by heart,45,free,listen music casual anywhere,seed
Listen right through the track you always skip,30,free,listen music try casual anywhere,seed
Read the book that has been on the shelf longest,300,free,read challenging home,seed
Read a newspaper from the day you were born,45,free,read nostalgic engaging anywhere,seed
Read one poem out loud every morning this week,15,free,read mindful casual home,seed
Read the book everybody argues about and decide for yourself,300,frugal,read challenging home,seed
Read a play instead of watching it,120,free,read acting engaging home,seed
Read something written by somebody your age a century ago,60,free,read nostalgic engaging anywhere,seed
Read a whole magazine your parents used to read,45,frugal,read nostalgic casual anywhere,seed
Read in a park until the light goes,90,free,read mindful engaging outdoors,seed
Read the second book by somebody you loved once,240,frugal,read casual home,seed
Read the rules of a game you have never played,30,free,read play casual home,seed
Walk from one end of your town to the other,240,free,travel move challenging outdoors,seed
Go to the nearest place you have never been,120,frugal,travel adventurous engaging outdoors,seed
Visit the museum nearest your own house,120,free,travel learn casual indoors,seed
Follow on foot a road you have only ever driven,150,free,travel move engaging outdoors,seed
Go and see where a river you know starts,300,frugal,travel adventurous challenging outdoors,seed
Cross the whole city without going underground,120,frugal,travel engaging outdoors,seed
Spend a whole day inside one square mile,360,free,travel mindful engaging outdoors,seed
Go back to the town you were born in,480,costly,travel nostalgic engaging outdoors,seed
Take the slow train instead of the fast one,180,frugal,travel mindful casual indoors,seed
Go somewhere at entirely the wrong time of year,300,costly,travel adventurous engaging outdoors,seed
Cook everything from one country for a whole day,240,frugal,eat create learn engaging home,seed
Make the same dish three times until it is right,180,frugal,eat create challenging home,seed
Eat somewhere with a queue and find out why,90,frugal,eat casual indoors newpeople friends,seed
Make a stock out of what would have gone in the bin,120,free,eat create engaging home,seed
Cook something that takes all day and do nothing else,360,frugal,eat create mindful challenging home,seed
Learn to cook one thing without looking at a recipe,90,frugal,eat create learn engaging home,seed
Eat breakfast somewhere you would normally rush past,45,frugal,eat mindful casual indoors,seed
Make jam or pickles out of far too much of something,150,frugal,eat create engaging home,seed
Taste three of the same thing side by side,45,frugal,eat learn funny casual home,seed
Feed six people out of one pot,180,frugal,eat create friends kindness engaging home,seed
Write down what you would do with a completely free year,45,free,question writing engaging anywhere,seed
Work out what you actually think about one thing in the news,45,free,question challenging anywhere,seed
Ask yourself what you are afraid of and write the answer down,40,free,question writing mindful challenging home,seed
Work out which of your opinions you have never once tested,45,free,question challenging anywhere,seed
Decide which ten things you would keep,30,free,question mindful engaging home,seed
Ask what you would do if nobody would ever know,25,free,question mindful casual anywhere,seed
Work out what you want the next five years to look like,60,free,question writing challenging home,seed
Ask somebody the question you have never dared ask,20,free,question friends challenging anywhere,seed
Work out what you would tell a stranger about your life in a minute,25,free,question funny engaging anywhere,seed
Name the thing you are doing that you would tell anybody else to stop,30,free,question challenging anywhere,seed
Ask what would have to be true for you to change your mind,30,free,question mindful challenging anywhere,seed
Work out what a good day is and count how many you get,45,free,question writing engaging home,seed
Say yes to the next thing you would normally decline,60,free,adventurous challenging anywhere newpeople friends,seed
Go out with no plan and no phone charger,180,frugal,adventurous engaging outdoors,seed
Take the last train somewhere and the first one back,480,costly,adventurous travel challenging indoors,seed
Knock on the door you have wondered about,15,free,adventurous kindness challenging home newpeople,seed
Climb something you are allowed to climb,60,free,adventurous move play engaging outdoors,seed
Go out in the weather everybody else is hiding from,60,free,adventurous move casual outdoors,seed
Book something before you have had time to think about it,20,costly,adventurous funny casual home,seed
Get lost on purpose for one hour,60,free,adventurous travel casual outdoors,seed
Sleep in the garden or on the floor,600,free,adventurous funny casual outdoors,seed
Speak to the first stranger who looks interesting,15,free,adventurous challenging outdoors newpeople,seed
Write a complaint letter about something entirely trivial,30,free,funny create writing casual home,seed
Photograph every dog you see today,20,free,funny create visualart casual outdoors,seed
Give the plants names and use them,10,free,funny casual home,seed
Spend a whole evening in a hat,180,free,funny casual home,seed
Learn a joke properly and tell it badly,20,free,funny friends casual anywhere,seed
Rank every biscuit in the shop,45,frugal,funny eat play casual home,seed
Read your old messages out loud in a serious voice,30,free,funny nostalgic friends casual home,seed
Rename everything in one room,20,free,funny play casual home,seed
Have an argument in which you each take the wrong side,25,free,funny friends engaging anywhere,seed
Invent a holiday and celebrate it properly,120,frugal,funny friends play engaging home,seed
Have a cup of tea and do nothing else at all,15,free,mindful casual home,seed
Notice five things you have walked past for years,25,free,mindful casual outdoors,seed
Eat one whole meal without talking,40,free,mindful casual home,seed
Breathe out longer than you breathe in for ten minutes,10,free,mindful casual anywhere,seed
Turn everything off at nine and see what happens,120,free,mindful challenging home,seed
Sit in a church or a library with no purpose at all,45,free,mindful casual indoors,seed
Watch one candle burn all the way down,60,frugal,mindful spooky casual home,seed
Lie in the garden and stay there until you are cold,30,free,mindful casual outdoors,seed
Put everything away before you sit down,30,free,mindful clean casual home,seed
Spend an hour saying nothing you do not mean,60,free,mindful challenging anywhere,seed
Read about the worst thing that ever happened near here,45,free,spooky read learn engaging anywhere,seed
Learn the ghost story that belongs to this town,45,free,spooky read learn engaging anywhere,seed
Walk somewhere with no streetlights at all,45,free,spooky adventurous casual outdoors,seed
Write a story set in the house you grew up in,60,free,spooky create writing nostalgic engaging home,seed
Find out what was here before the building you are in,45,free,spooky learn engaging home,seed
Listen to something frightening in the dark with headphones,60,free,spooky listen engaging home,seed
Go and find the oldest gravestone near you,60,free,spooky travel learn casual outdoors,seed
Follow one real unsolved thing all the way to the end,90,free,spooky read learn challenging anywhere,seed
Draw the thing that frightened you when you were small,45,free,spooky create visualart drawing nostalgic engaging home,seed
Stay up until everybody else in the house is asleep,60,free,spooky mindful casual home,seed
Ring the person you were closest to at school,40,free,nostalgic kindness challenging anywhere,seed
Cook the meal you ate every week as a child,90,frugal,nostalgic eat create casual home,seed
Go and stand outside the first house you remember,120,frugal,nostalgic travel engaging outdoors,seed
Watch the programme that was always on,60,free,nostalgic watch casual home,seed
Find the photograph nobody has looked at for years,45,free,nostalgic engaging home,seed
Play the album that got you through one bad year,45,free,nostalgic listen music mindful casual home,seed
Write down the names of everybody in your class,30,free,nostalgic writing create casual anywhere,seed
Cook from the recipe in somebody else’s handwriting,120,frugal,nostalgic eat create engaging home,seed
Go back to somewhere you loved at twenty,180,frugal,nostalgic travel engaging outdoors,seed
Dig out the thing you kept for no reason and decide about it,45,free,nostalgic organize casual home,seed
Write down what you noticed first,20,free,romantic writing create casual anywhere partner,seed
Go somewhere you cannot afford for exactly one drink,90,costly,romantic adventurous casual indoors partner,seed
Learn to cook one thing you both love properly,150,frugal,romantic eat create learn engaging home partner,seed
Leave the house at midnight and walk,60,free,romantic adventurous casual outdoors partner,seed
Spend a whole day answering to nobody but each other,480,free,romantic mindful engaging home partner,seed
Go back to the place you first went to,150,frugal,romantic nostalgic engaging outdoors partner,seed
Take turns choosing for the whole evening,180,frugal,romantic funny casual indoors partner,seed
Read the same thing at the same time in the same room,90,free,romantic read mindful casual home partner,seed
Plan the one thing you will definitely do this year,45,free,romantic organize engaging home partner,seed
Say the thing you have been assuming they already know,15,free,romantic challenging anywhere partner,seed
Eat in a restaurant on your own with no phone,90,frugal,eat solo challenging indoors,seed
Take yourself somewhere for the day and tell nobody,480,frugal,travel solo adventurous engaging outdoors,seed
Spend a whole evening alone on purpose,180,free,solo mindful casual home,seed
Walk somewhere new with nobody to agree with,90,free,travel solo move mindful engaging outdoors,seed
Go to a gig on your own and stand at the front,180,costly,listen music solo adventurous challenging indoors,seed
Sit in a café and finish something on your own,120,frugal,solo create writing engaging indoors,seed
Spend a night somewhere by yourself,720,costly,travel solo adventurous challenging indoors,seed
Cook a proper meal for yourself and nobody else,90,frugal,eat create solo kindness engaging home,seed
Go round a gallery alone and take as long as you like,120,frugal,watch solo mindful engaging indoors,seed
Learn something with nobody watching you do it,60,free,learn solo try casual home,seed
Send somebody the photograph you took years ago,3,free,kindness nostalgic casual anywhere,seed
Learn one fact about the street you are standing on,4,free,learn casual anywhere,seed
Put one thing back where it actually lives,2,free,organize casual home,seed
Do ten of something,3,free,move play casual home,seed
Look properly at one object for two minutes,2,free,watch mindful casual anywhere,seed
Hum the tune you are stuck on into your phone,3,free,create music casual anywhere,seed
Ask the next person how they actually are,3,free,kindness friends casual anywhere,seed
Write one line of the thing you are avoiding,4,free,create writing challenging anywhere,seed
Find something that smells like being small,3,free,nostalgic casual home,seed
Decide one thing you have been putting off deciding,4,free,question challenging anywhere,seed
Stand in the doorway and look at the room as a stranger would,2,free,question casual home,seed
Give a whole Saturday to one thing and finish it,480,free,create challenging home,seed
Spend a day doing only what somebody else chooses,480,frugal,kindness friends engaging anywhere,seed
Buy the ticket for the thing you keep not going to,600,costly,adventurous watch engaging indoors,seed
